"TERM","colors","cup","bold","setaf"
"9term","-1","''","''","''"
"Eterm","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"Eterm-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"Eterm-88color","88","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"MtxOrb","-1","''","''","''"
"MtxOrb162","-1","''","''","''"
"MtxOrb204","-1","''","''","''"
"NCR260VT300WPP","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa+dec","-1","''","''","''"
"aaa+rv","-1","''","$'\E[1;7m'","''"
"aaa+unk","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-18","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-18-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aaa-20","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-22","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-24","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-24-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aaa-26","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-28","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-30-ctxt","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-30-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aaa-30-rv-ctxt","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aaa-30-s","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-30-s-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aaa-36","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-36-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aaa-40","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-40-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aaa-48","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-48-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aaa-60","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-60-dec-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aaa-60-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aaa-60-s","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-60-s-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aaa-db","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-rv-unk","-1","''","$'\E[1;7m'","''"
"aaa-s-ctxt","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aaa-s-rv-ctxt","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;7m'","''"
"aas1901","-1","''","''","''"
"abm80","-1","$'\E\021%p2%\' \'%+%c%p1%\' \'%+%c'","''","''"
"abm85","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"abm85e","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"abm85h","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"abm85h-old","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"act4","-1","$'\024%p1%{24}%+%c%p2%p2%?%\'/\'%>%t%\'0\'%+%;%\'P\'%+%c'","''","''"
"act5","-1","$'\024%p1%{24}%+%c%p2%p2%?%\'/\'%>%t%\'0\'%+%;%\'P\'%+%c'","''","''"
"addrinfo","-1","$'\037%p1%c%p2%c'","''","''"
"adds980","-1","$'\v%p1%\'@\'%+%c\E\005%p2%2d'","''","''"
"adm+sgr","-1","''","''","''"
"adm11","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"adm1178","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","$'\E('","''"
"adm12","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"adm1a","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"adm2","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"adm20","-1","$'\E=%i%p2%{31}%+%c%p1%{31}%+%c'","''","''"
"adm21","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"adm22","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"adm3","-1","''","''","''"
"adm31","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"adm31-old","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"adm36","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"adm3a","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"adm3a+","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"adm42","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"adm42-ns","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c\177\177\177\177\177\177\177\177\177\177\177\177\177\177\177\177\177\177\177\177\177\177\177\177\177\EF \t'","''","''"
"adm5","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"aepro","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"aixterm","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"aixterm-16color","16","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t%p1%{30}%+%e%p1%\'R\'%+%;%dm'"
"aixterm-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aixterm-m-old","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"aj510","-1","$'\E#%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"aj830","-1","''","''","''"
"alto-h19","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"altos2","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"altos3","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"altos4","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"altos7","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","$'\EGt'","''"
"altos7pc","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","$'\EGt'","''"
"amiga","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"amiga-8bit","-1","$'\233%i%p1%d;%p2%dH'","$'\2331m'","''"
"amiga-h","-1","$'\233%i%p1%d;%p2%dH'","$'\2331m'","''"
"amiga-vnc","16","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%>%t%\'2\'%p1%+%d%e3%p1%d%;m'"
"ampex175","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"ampex175-b","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"ampex210","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"ampex219","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"ampex219w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"ampex232","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"ampex232w","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"ampex80","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"annarbor4080","-1","$'\017%p2%{10}%/%{16}%*%p2%{10}%m%+%c%p1%?%p1%{19}%>%t%{12}%+%;%\'@\'%+%c'","''","''"
"ansi+arrows","-1","''","''","''"
"ansi+csr","-1","''","''","''"
"ansi+cup","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"ansi+enq","-1","''","''","''"
"ansi+erase","-1","''","''","''"
"ansi+idc","-1","''","''","''"
"ansi+idc1","-1","''","''","''"
"ansi+idl","-1","''","''","''"
"ansi+idl1","-1","''","''","''"
"ansi+inittabs","-1","''","''","''"
"ansi+local","-1","''","''","''"
"ansi+local1","-1","''","''","''"
"ansi+pp","-1","''","''","''"
"ansi+rca","-1","''","''","''"
"ansi+rep","-1","''","''","''"
"ansi+sgr","-1","''","''","''"
"ansi+sgrbold","-1","''","$'\E[1m'","''"
"ansi+sgrdim","-1","''","''","''"
"ansi+sgrso","-1","''","''","''"
"ansi+sgrul","-1","''","''","''"
"ansi+tabs","-1","''","''","''"
"ansi-color-2-emx","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"ansi-color-3-emx","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"ansi-emx","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"ansi-generic","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"ansi-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"ansi-mini","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"ansi-mr","-1","''","''","''"
"ansi-mtabs","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"ansi-nt","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"ansi.sys","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"ansi.sys-old","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"ansi.sysk","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"ansi77","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"apollo","-1","$'\EM%p1%\' \'%+%c%p2%d)'","''","''"
"apollo_15P","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"apollo_19L","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"apollo_color","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"apple-80","-1","$'\036%p2%\' \'%+%c%p1%\' \'%+%c'","''","''"
"apple-ae","-1","$'\036%p2%\' \'%+%c%p1%\' \'%+%c'","''","''"
"apple-soroc","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"apple-uterm","-1","$'\036%p2%\' \'%+%c%p1%\' \'%+%c'","''","''"
"apple-uterm-vb","-1","$'\036%p2%\' \'%+%c%p1%\' \'%+%c'","''","''"
"apple-videx","-1","$'\036%p2%\' \'%+%c%p1%\' \'%+%c'","''","''"
"apple-videx2","-1","$'\036%p2%\' \'%+%c%p1%\' \'%+%c'","''","''"
